SourceBlock,Instrument,ExpiryLbl,TenorLbl,Te,SwapTenorY,FwdRate,MoneynessBP,Strike,OptType,PremiumBP,Annuity_Te,PricePerAnnuity,Model,Shift,ImplVol,Status,CashIRR_Annuity,PricePerCashIRRAnnuity,CashIRRPremiumBP,CashIRRStatus
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,NORMAL,0.0,0.0015222881790041595,OK,1.0043891807197454,0.00017410896583681487,1.7487316155280062,OK
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.01,0.270456394085811,OK,1.0043891807197454,0.00017410896280837347,1.7487315851106684,OK
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.02,0.0973984394707278,OK,1.0043891807197454,0.00017410896284865592,1.748731585515261,OK
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.03,0.05939549527192478,OK,1.0043891807197454,0.00017410896276345844,1.7487315846595466,OK
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,1.0043891807197454,0.0001741089627234002,1.7487315842572062,OK
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,NORMAL,0.0,0.0019521055875786632,OK,2.010973240600523,0.000223268556995515,4.489870935854734,OK
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.01,0.3070339332219817,OK,2.010973240600523,0.0002232685553823846,4.489870903415113,OK
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.02,0.11932767521927704,OK,2.010973240600523,0.0002232685553974663,4.489870903718402,OK
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.03,0.0740569893301527,OK,2.010973240600523,0.00022326855539682965,4.489870903705599,OK
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,2.010973240600523,0.00022326855547400576,4.4898709052575905,OK
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,NORMAL,0.0,0.002303668734801509,OK,3.026026237745941,0.0002634779581020438,7.972912142845103,OK
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.01,0.34813065580569147,OK,3.026026237745941,0.000263477961128931,7.972912234439504,OK
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.02,0.13861734976934587,OK,3.026026237745941,0.00026347796115985117,7.972912235375156,OK
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.03,0.08654124141690267,OK,3.026026237745941,0.0002634779610441451,7.9729122318738606,OK
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,3.026026237745941,0.0002634779610571139,7.9729122322662995,OK
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,NORMAL,0.0,0.0027508103727318825,OK,4.033102195552676,0.00031461897675829134,12.688904859264012,OK
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.01,0.39374405890757114,OK,4.033102195552676,0.00031461897758111416,12.688904892449298,OK
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.02,0.16192215294941942,OK,4.033102195552676,0.0003146189776070691,12.688904893496087,OK
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.03,0.10192323989922508,OK,4.033102195552676,0.0003146189776173907,12.688904893912367,OK
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,4.033102195552676,0.00031461897768556013,12.68890489666171,OK
ATM,ATM 1M x 5Y,1M,5Y,0.0821917808219178,5.0,-0.00255,0.0,-0.00255,CALL/PAYER,18.0,5.071480934961414,0.00035492591278245533,NORMAL,0.0,0.0031032263203777154,OK,5.038478813639118,0.0003549259153756275,17.882867050315696,OK
