C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
"DeltaPrice_FD_df=0,5bps -> per1bp (ATM STRADDLE)",,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,3.810109369439818e-07,9.667983163212491e-07,1.711091248126584e-06,2.7078956236934462e-06,3.7874809990931626e-06,4.997754725786763e-06,6.277967450729439e-06,7.627214297873053e-06,8.99109514364458e-06,1.0425439926004999e-05,1.7130596737327863e-05,2.3674706864642303e-05,2.948445024547901e-05,3.538286386894924e-05
2M,6.017243799492311e-07,1.399089541467502e-06,2.5154254859976355e-06,3.875878772907804e-06,5.206176787069783e-06,7.022294227603876e-06,9.100251620845424e-06,1.1072325160476027e-05,1.314486136037889e-05,1.517323871050973e-05,2.477117407059293e-05,3.438563070897054e-05,4.297365484172105e-05,5.155141552571685e-05
3M,7.123013489730878e-07,1.6687317729229712e-06,2.995696296127726e-06,4.828126233512897e-06,6.619799735892151e-06,8.781976561095916e-06,1.1294514314217797e-05,1.379477387233159e-05,1.632856710376398e-05,1.9009427281216062e-05,3.087875687375999e-05,4.2761107843220715e-05,5.2865478908769964e-05,6.412194201875679e-05
6M,9.882466494384846e-07,2.3670660106257734e-06,4.1646653368510925e-06,6.611545741148995e-06,9.21222748370738e-06,1.2106684255063006e-05,1.5436949612054642e-05,1.8773646773620634e-05,2.233449147982416e-05,2.581480985717146e-05,4.178045328534594e-05,5.712764939348425e-05,7.158008576595662e-05,8.571292128531347e-05
9M,1.2626904238685288e-06,2.952550767433593e-06,5.375376675238508e-06,8.37727497438472e-06,1.146595447216141e-05,1.493404190420149e-05,1.87121826142187e-05,2.2592557644994038e-05,2.67832739637468e-05,3.107590119146089e-05,4.987492940805822e-05,6.774751793952981e-05,8.464023738072193e-05,0.00010157128532911984
1Y,1.5896529613727895e-06,3.5856911622980105e-06,6.4157758584117986e-06,9.809659438485863e-06,1.3382879017336968e-05,1.7416259575007143e-05,2.175044119310039e-05,2.6266490392127475e-05,3.0884037469802195e-05,3.569121441292218e-05,5.613394591440422e-05,7.639055162879061e-05,9.564724410325099e-05,0.00011519661553037253
18M,2.178686330521229e-06,4.88351924581405e-06,8.563579823001e-06,1.2672900197921956e-05,1.7034867558397605e-05,2.209024671759483e-05,2.73039994179773e-05,3.249547361593859e-05,3.806198641501109e-05,4.381221265827638e-05,6.758534282360032e-05,9.136264602355198e-05,0.00011374885422391153,0.00013822002437815863
2Y,2.862062116931563e-06,6.41644403154924e-06,1.0918578248804157e-05,1.5723691757913018e-05,2.0899975862667032e-05,2.6435904593072923e-05,3.2323829423945936e-05,3.8279960112781986e-05,4.44881106221688e-05,5.0991685021859644e-05,7.779221675896775e-05,0.00010403173643933172,0.0001297645728444781,0.00015687894519999084
3Y,4.549104818766426e-06,9.57148305833302e-06,1.5351281104345295e-05,2.1472404888218934e-05,2.8118111181057695e-05,3.469427839690171e-05,4.189910720428163e-05,4.8567742231467475e-05,5.572242740627687e-05,6.296671197614217e-05,9.374847067728531e-05,0.00012454743124217486,0.00015522606685057134,0.00018579446397146883
