SourceBlock,Instrument,ExpiryLbl,TenorLbl,Te,SwapTenorY,FwdRate,MoneynessBP,Strike,OptType,PremiumBP,Annuity_Te,PricePerAnnuity,Model,Shift,ImplVol,Status,Greek,BumpType,Bump,Value_Annuity_FD,Value_Price_FD,Value_Annuity_ANA,Value_Price_ANA,AbsErr_Price,RelErr_Price,ParDeltaAnn_per1bp,ParDeltaPrice_per1bp,Note
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,DELTA,FWD_BPS,0.5,0.5018953548300772,0.5044639039536819,0.5019078343493688,0.5044764473393911,-1.2543385709218313e-05,-2.486416516642577e-05,-0.00010991612671895634,-1.9137382809611304e-08,
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,DELTA,FWD_BPS,1.0,0.5018584038533718,0.504426763873017,0.5019078343493688,0.5044764473393911,-4.968346637412857e-05,-9.848520507975978e-05,-0.00010991612671895634,-1.9137382809611304e-08,
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,DELTA,FWD_BPS,2.0,0.5017176637037895,0.504285303457777,0.5019078343493688,0.5044764473393911,-0.00019114388161411977,-0.00037889555126351815,-0.00010991612671895634,-1.9137382809611304e-08,
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,VEGA,VOL,0.0025,0.005218789191901996,0.005245497381719126,0.005218789303603734,0.00524549749399252,-1.1227339370700751e-10,-2.140376462587013e-08,-0.00010991612671895634,-1.9137382809611304e-08,
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,VEGA,VOL,0.005,0.005218788856800258,0.0052454970449024385,0.005218789303603734,0.00524549749399252,-4.490900810949494e-10,-8.561439245929985e-08,-0.00010991612671895634,-1.9137382809611304e-08,
ATM,ATM 1M x 1Y,1M,1Y,0.0821917808219178,1.0,-0.00437,0.0,-0.00437,CALL/PAYER,1.75,1.005117698537924,0.00017410896281555934,BLACK_SHIFT,0.05,0.03336169086604526,OK,VEGA,VOL,0.01,0.005218787516388622,0.00524549569763098,0.005218789303603734,0.00524549749399252,-1.7963615395535926e-09,-3.424578014975512e-07,-0.00010991612671895634,-1.9137382809611304e-08,
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,DELTA,FWD_BPS,0.5,0.502398396260359,1.012588978007965,0.5024079870089949,1.012608308257488,-1.933024952283091e-05,-1.9089562435148e-05,-0.0003214865611580464,-7.177784011406263e-08,
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,DELTA,FWD_BPS,1.0,0.5023698525453112,1.012531447865624,0.5024079870089949,1.012608308257488,-7.686039186394211e-05,-7.590337866791225e-05,-0.0003214865611580464,-7.177784011406263e-08,
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,DELTA,FWD_BPS,2.0,0.5022590337717351,1.012308091522302,0.5024079870089949,1.012608308257488,-0.00030021673518598746,-0.0002964786410873964,-0.0003214865611580464,-7.177784011406263e-08,
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,VEGA,VOL,0.0025,0.005302244712034748,0.010686727095611621,0.0053022448255198645,0.010686727324342005,-2.2873038359183528e-10,-2.140322071012685e-08,-0.0003214865611580464,-7.177784011406263e-08,
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,VEGA,VOL,0.005,0.005302244371576531,0.01068672640941469,0.0053022448255198645,0.010686727324342005,-9.149273144659631e-10,-8.561342370755177e-08,-0.0003214865611580464,-7.177784011406263e-08,
ATM,ATM 1M x 2Y,1M,2Y,0.0821917808219178,2.0,-0.00364,0.0,-0.00364,CALL/PAYER,4.5,2.0155099728527177,0.00022326855538356769,BLACK_SHIFT,0.05,0.042107796111992,OK,VEGA,VOL,0.01,0.00530224300974956,0.01068672366463885,0.0053022448255198645,0.010686727324342005,-3.659703155106664e-09,-3.4245312377070464e-07,-0.0003214865611580464,-7.177784011406263e-08,
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,DELTA,FWD_BPS,0.5,0.502817717708548,1.526708998499053,0.5028258039581415,1.5267335508359807,-2.4552336927774476e-05,-1.6081612219978107e-05,-0.0006379136412268949,-1.6807618552098155e-07,
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,DELTA,FWD_BPS,1.0,0.5027935974858191,1.526635762095901,0.5028258039581415,1.5267335508359807,-9.778874007970728e-05,-6.40509537673826e-05,-0.0006379136412268949,-1.6807618552098155e-07,
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,DELTA,FWD_BPS,2.0,0.5026991630834119,1.5263490302508498,0.5028258039581415,1.5267335508359807,-0.000384520585130943,-0.0002518583448437314,-0.0006379136412268949,-1.6807618552098155e-07,
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,VEGA,VOL,0.0025,0.005331944569662156,0.0161894210711163,0.005331944683781381,0.01618942141761731,-3.4650101191080473e-10,-2.140292744086226e-08,-0.0006379136412268949,-1.6807618552098155e-07,
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,VEGA,VOL,0.005,0.005331944227301988,0.016189420031605693,0.005331944683781381,0.01618942141761731,-1.386011617976468e-09,-8.561217737331934e-08,-0.0006379136412268949,-1.6807618552098155e-07,
ATM,ATM 1M x 3Y,1M,3Y,0.0821917808219178,3.0,-0.00338,0.0,-0.00338,CALL/PAYER,8.0,3.03630708451684,0.00026347796113228186,BLACK_SHIFT,0.05,0.0494141575368191,OK,VEGA,VOL,0.01,0.005331942857865306,0.016189415873575395,0.005331944683781381,0.01618942141761731,-5.5440419165220245e-09,-3.4244842811300247e-07,-0.0006379136412268949,-1.6807618552098155e-07,
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,DELTA,FWD_BPS,0.5,0.5033410013825096,2.0397999563911378,0.503347722682332,2.039827194599523,-2.7238208385238494e-05,-1.3353194063375618e-05,-0.0010543013709676252,-3.317032195063187e-07,
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,DELTA,FWD_BPS,1.0,0.5033209183042016,2.0397185692954225,0.503347722682332,2.039827194599523,-0.00010862530410049587,-5.325220900480354e-05,-0.0010543013709676252,-3.317032195063187e-07,
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,DELTA,FWD_BPS,2.0,0.5032417854250373,2.0393978816442573,0.503347722682332,2.039827194599523,-0.0004293129552657149,-0.00021046535530182568,-0.0010543013709676252,-3.317032195063187e-07,
ATM,ATM 1M x 4Y,1M,4Y,0.0821917808219178,4.0,-0.00301,0.0,-0.00301,CALL/PAYER,12.75,4.052520956545341,0.00031461897758744753,BLACK_SHIFT,0.05,0.05854102289211893,OK,VEGA,VOL,0.0025,0.005374207187397451,0.021779087251744763,0.005374207302419673,0.02177908771787473,-4.661299679575848e-10,-2.1402639724666628e-08,-0.0010543013709676252,-3.317032195063187e-07,
