C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
DeltaPrice_per1bp (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,3.835196140858214e-07,9.7066436622581e-07,1.7160017155121404e-06,2.7133432653705003e-06,3.793466808741492e-06,5.00417014372926e-06,6.284772306377009e-06,7.634364822750204e-06,8.998592398854984e-06,1.0433227345783055e-05,1.7140151513302462e-05,2.3686158404355798e-05,2.9498253997807793e-05,3.539904377465033e-05
2M,6.033347957722492e-07,1.401768384948546e-06,2.5187566977118332e-06,3.879676870325178e-06,5.210526315863246e-06,7.026858212624376e-06,9.104938274631072e-06,1.1077235769205987e-05,1.3149969889320067e-05,1.5178571428176935e-05,2.47777567630174e-05,3.439349112938734e-05,4.2983100670533885e-05,5.1562500010970784e-05
3M,7.136583224901947e-07,1.67097886925478e-06,2.9985007512438972e-06,4.831174346853586e-06,6.6232127824952716e-06,8.785610312235623e-06,1.1298274445651724e-05,1.3798701295414514e-05,1.6332665334194943e-05,1.9013666068232052e-05,3.0884019638917565e-05,4.276741178661824e-05,5.287314117219345e-05,6.413083426101956e-05
6M,9.892284022618934e-07,2.3686477162135518e-06,4.166666665569808e-06,6.6137566104916925e-06,9.21465968690765e-06,1.210929413843296e-05,1.543967280051128e-05,1.8776499086144778e-05,2.2337455123110084e-05,2.5817895150998492e-05,4.178430265701469e-05,5.713232582393044e-05,7.158570120015684e-05,8.571953009637494e-05
9M,1.2634585798002772e-06,2.9538131025883896e-06,5.376916525095914e-06,8.3790050555882e-06,1.1467889904561313e-05,1.493613514115511e-05,1.8714401949969264e-05,2.2594898581828325e-05,2.67857142884914e-05,3.107843136594462e-05,4.987811739235143e-05,6.775142488169147e-05,8.464494874343064e-05,0.00010157682432152459
1Y,1.590261023171722e-06,3.5867237670969305e-06,6.417055579512499e-06,9.811122769312326e-06,1.3384519613039627e-05,1.74180327867508e-05,2.175232699516943e-05,2.626847782814703e-05,3.088612591736729e-05,3.569338793893103e-05,5.61367457510033e-05,7.639398387870302e-05,9.565137950245679e-05,0.00011520146522328578
18M,2.179123992344936e-06,4.884264173972143e-06,8.564522909403625e-06,1.2674007897465513e-05,1.7036124801904167e-05,2.2091609237247472e-05,2.7305461099691127e-05,3.249703674465987e-05,3.806363460164778e-05,4.3813935526141115e-05,6.758761356519933e-05,9.136546186396628e-05,0.00011375227688690832,0.00013822400877022039
2Y,2.862389286518454e-06,6.416999788544218e-06,1.0919301165217949e-05,1.572456321178716e-05,2.090097403086716e-05,2.6437011821926282e-05,3.2325029656786724e-05,3.82812499876555e-05,4.448948080542888e-05,5.0993124530684854e-05,7.779414471754693e-05,0.0001040341631705962,0.00012976752632030486,0.00015688240659386893
3Y,4.549301734160376e-06,9.571840261082874e-06,1.5351769012355567e-05,2.147300822108396e-05,2.811881188198237e-05,3.4695074273191065e-05,4.1899980687990965e-05,4.8568702301635385e-05,5.572346050915526e-05,6.296781436358409e-05,9.375000000775126e-05,0.00012454938716124648,0.00015522846302140451,0.00018579731197691058
4Y,6.142886642180611e-06,1.2459807069620075e-05,1.9528152265196647e-05,2.6804930534962625e-05,3.427302568785064e-05,4.1682563901329845e-05,4.950961901363125e-05,5.7412247931614975e-05,6.522945964373343e-05,7.270056914099885e-05,0.00010682226214390762,0.00014086271705718106,0.00017394822007804189,0.0002076769871499776
5Y,7.595573438572598e-06,1.5169309066123297e-05,2.307840865801254e-05,3.1357224559700944e-05,3.9845516213264675e-05,4.796944859796826e-05,5.627306274354508e-05,6.491002569035376e-05,7.31663035660428e-05,8.14687838481046e-05,0.00011813333335576734,0.00015527673966382822,0.0001908814045013781,0.00022778179193884765
7Y,1.0028517110299235e-05,1.969162177378972e-05,2.9498253992072147e-05,3.9105129128570086e-05,4.8602344456798716e-05,5.808126008212443e-05,6.749066336236365e-05,7.678697808436005e-05,8.644695101149439e-05,9.606257690514416e-05,0.00013854787797930182,0.00018124779070108257,0.00022073518908603297,0.00026203787201559007
