C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
VegaPrice_FD (dv=0.0025) - per1pct (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,0.00010490994763438253,0.00021373454191223244,0.000323788421422326,0.00043558174503489526,0.0005504351713495343,0.0006685864037862487,0.0007900828633432326,0.0009144352075473867,0.0010419429926636502,0.0011706999041570644,0.001829871157305568,0.002466808941212142,0.0030639225411058565,0.003629812359918283
2M,0.00014985672697531572,0.0003048467004746747,0.00046113352402389076,0.0006213047931523365,0.0007856355624595713,0.0009554911700303946,0.0011284261379307476,0.0013056717457277627,0.0014871524131177297,0.0016713099182245783,0.002610616984998882,0.0035165657637810095,0.004367044914317268,0.005173729594925708
3M,0.0001833749961384465,0.00037447120366276935,0.0005678542884542408,0.0007643178268968316,0.0009659353450778635,0.0011735908991704885,0.0013871982379873777,0.0016055908691988074,0.001829537065088433,0.002055281142120954,0.003208745711867005,0.004320407388823157,0.005362858715239018,0.006350947578647078
6M,0.0002576571014644332,0.0005273736097598014,0.0007989876353683155,0.0010783987164175981,0.0013634572217442402,0.0016572444951076502,0.00195841735103225,0.002267579097412981,0.002583504319094491,0.002902105480292885,0.004521351853981444,0.006077667797680625,0.007534771647206553,0.008921737393607035
9M,0.0003162791662948581,0.0006485505849450718,0.0009834696270503824,0.0013279944064475263,0.0016793949482845833,0.0020416356807793955,0.002413575409047944,0.002793902111766898,0.0031823824099649167,0.0035739696880855484,0.005557027340703838,0.007457499829864679,0.009237806376173996,0.010932341622039838
1Y,0.000366124841255947,0.0007518200872847071,0.0011406285333827345,0.001540900998588294,0.0019490312463826946,0.002370315636024734,0.0028014180565709658,0.003242676215606166,0.0036926769804976477,0.004146075784590065,0.006432808520427462,0.008618570582237861,0.010667295104428867,0.012617252273106276
18M,0.00045033604200989607,0.0009261595292271736,0.0014087029122571066,0.001900288194053385,0.002404975042677675,0.0029238929686832096,0.0034560199988134433,0.003997673636187403,0.004550245515838371,0.005104714261945446,0.007886287586770927,0.010534649187244756,0.013016160152590406,0.015384631577830012
2Y,0.0005248463470391874,0.0010797541530491324,0.001643678164011885,0.0022171639169250184,0.002806879546449189,0.0034128958940228067,0.0040319296152255945,0.004660597040569051,0.0053022739842112,0.005942378834460705,0.009138239017282009,0.012172157285834536,0.015013577550737829,0.017734337000598933
3Y,0.0006549437275221178,0.0013519201016946153,0.0020505397678271127,0.002768339620743104,0.003506132348266876,0.004259685365531092,0.005025253518904652,0.005806465578499926,0.006585057682774147,0.0073678893984341675,0.011232372547805325,0.014876035819100701,0.018308455870376016,0.021592942921396265
4Y,0.0007773364309274488,0.001591713800384014,0.0024166996540519793,0.0032635834701054823,0.004130095937112595,0.005010101858131707,0.0059065061818616375,0.006802115361505857,0.007700470433989233,0.008602365727880803,0.013003450381800591,0.017130291031941258,0.021033173078685893,0.0247828055931575
5Y,0.0008844696730955185,0.001818400552829864,0.0027626831282331903,0.003732869476476679,0.0047099494464807766,0.005702111930164637,0.006702154847496046,0.007676868882619936,0.008711093405529379,0.00971553563808027,0.014556461042723196,0.01909665359498695,0.02340574945391863,0.027552971413267284
7Y,0.0011003755773826727,0.0022496297518860143,0.003410942739885849,0.004580266963273682,0.005756085859982447,0.0069405103122926175,0.008125144979419848,0.00930434433329861,0.01047930188300445,0.011627685595096747,0.017203457542560124,0.02243338934156525,0.027435959325721865,0.032256743795409805
10Y,0.001405776992015448,0.0028254618154016954,0.004242645559150018,0.005665644117353417,0.007082998191090328,0.008487541319154508,0.009877749969194195,0.011207510506153304,0.012604888384786406,0.013938344189452695,0.02037517931912233,0.026482886273901277,0.03236436921572052,0.03806336573496604
15Y,0.001761718160551255,0.0035124395349152944,0.005232997437195253,0.006941555062450811,0.008620871291853556,0.010280332918929736,0.011928784406021593,0.013541191598708337,0.015131128300410995,0.0167079395463155,0.024403275462240696,0.03181010274360004,0.03900951515942046,0.04608224634335655
20Y,0.0019667230207464,0.003924574766911073,0.005834872228022824,0.007785802001828612,0.009602265123906464,0.01145889945321876,0.013296716485853469,0.01513776046944856,0.016930524896955332,0.01872847307355851,0.027541958970564148,0.03611526811717335,0.0445630348364428,0.05289644529585444
25Y,0.0021153398832363403,0.004204504482596092,0.006297080375238802,0.008339024698937145,0.010386816115303732,0.01241797631489841,0.01427463362852379,0.016468029107431843,0.01844559127226111,0.020420635038394464,0.03018416236865674,0.03983216090496646,0.04937189835007213,0.05892531872246805
30Y,0.0022407032278524783,0.004477810147864671,0.006702096163534161,0.008889482293025337,0.011068030232107255,0.013233881097535743,0.015419774358230769,0.017567449373981393,0.01974205825198358,0.021883653171133763,0.032548560811550394,0.04313300853985903,0.05375279771429628,0.06469867683072017
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VegaPrice_FD (dv=0.005) - per1pct (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,0.00010490994089804877,0.0002137345281882938,0.0003237884006321139,0.0004355817170671803,0.000550435136007888,0.0006685863608593086,0.0007900828126164083,0.0009144351488374778,0.001041942925768243,0.0011706998289964087,0.0018298710398291197,0.0024668087828479098,0.003063922344408314,0.00362981212689318
2M,0.00014985670741035376,0.0003048466606753428,0.0004611334638225287,0.0006213047120433786,0.000785635459899975,0.0009554910453026798,0.0011284259906355393,0.001305671575302258,0.0014871522190103303,0.0016713097000864035,0.002610616644287117,0.003516565304854994,0.004367044344406473,0.005173728919749702
3M,0.00018337496003152334,0.0003744711299306919,0.000567854176650719,0.000764317676422709,0.0009659351549190782,0.0011735906681450451,0.0013871979649315372,0.0016055905531723192,0.0018295367050003173,0.002055280737622236,0.0032087450804211244,0.004320406538673297,0.00536285765996382,0.0063509463289837245
6M,0.00025765700110819107,0.000527373404363482,0.0007989873242114206,0.001078398296498167,0.00136345669087882,0.001657243849921405,0.0019584165886869006,0.0022675782148075508,0.00258350331362106,0.002902104350912211,0.00452135009478347,0.006077665433166125,0.007534768715929064,0.008921733922846689
9M,0.0003162789808519311,0.0006485502047165562,0.0009834690505580372,0.001327993628139419,0.0016793939641586034,0.002041634484549565,0.0024135739950959132,0.002793900475213727,0.0031823805461048426,0.003573967595143232,0.005557024087261399,0.007457495464254737,0.009237800968638537,0.010932335222869507
1Y,0.00036612455455030336,0.0007518194986096368,0.0011406276404559083,0.0015408997925758611,0.001949029721207283,0.002370313781536309,0.002801415865206335,0.003242673679511553,0.0036926740928966955,0.004146072542933877,0.0064328034920421665,0.008618563846325426,0.010667286767928292,0.012617242413471048
18M,0.00045033551514444013,0.0009261584458782374,0.0014087012650098785,0.0019002859726219936,0.0024049722319451797,0.0029238895524995342,0.0034560159619388925,0.003997668967555197,0.004550240203031918,0.005104708303006388,0.007886278382976565,0.010534636894871939,0.013016144965680654,0.015384613630566377
2Y,0.0005248455268921724,0.0010797524663219984,0.0016436755974987497,0.0022171604561249535,0.0028068751665225166,0.003412890570043706,0.00403192332744759,0.0046605897741919386,0.005302265719394371,0.005942369574283269,0.00913822478028693,0.012172138324948505,0.015013554166161288,0.017734309383215043
3Y,0.0006549421960610277,0.0013519169414865093,0.0020505349770273966,0.0027683331555847348,0.0035061241636653484,0.004259675424723697,0.005025241796003956,0.005806452035479847,0.006585042327711511,0.00736787222202647,0.011232346364236055,0.014876001146770783,0.018308413203842033,0.021592892606732236
4Y,0.0007773340142924485,0.0015917088529966475,0.0024166921467507676,0.003263573336108598,0.004130083116788076,0.005010086309573086,0.0059064878567165816,0.006802094263471133,0.007700446554481266,0.008602339054071394,0.013003410057226385,0.017130237913352837,0.021033107859175473,0.0247827287548328
5Y,0.0008844662457128682,0.0018183935062156553,0.0027626724252756856,0.0037328550200255895,0.004709931212823982,0.005702089858059962,0.0067021289084560065,0.007676839178511601,0.008711059703039379,0.00971549805312341,0.014556404709165215,0.019096579692172974,0.023405658868356462,0.027552864788833994
7Y,0.0011003696509603227,0.002249617629211157,0.0034109243584173514,0.004580242278509112,0.005756054835848718,0.006940472902752698,0.008125101183307967,0.009304294179049596,0.010479245401199693,0.011627622931605932,0.0172033647655062,0.022433268343780465,0.027435811287149593,0.03225656974032293
10Y,0.001405766274490827,0.002825440257678686,0.00424261317572003,0.0056656008506669,0.0070829440790661806,0.008487476464278951,0.009877674482403932,0.011207424855914113,0.012604792030885952,0.013938237675230834,0.020375023453920088,0.026482683587256754,0.032364121338533385,0.038063074141141094
15Y,0.0017616982349456228,0.003512399792270507,0.0052329382225638045,0.00694147648027344,0.008620773671999534,0.010280216493793792,0.011928649260302727,0.013541038144719336,0.01513095686669904,0.016707750259501254,0.024402998425978036,0.03180974117117823,0.03900907107914052,0.0460817212772651
20Y,0.0019666937793172638,0.003924516384928704,0.0058347854535476616,0.007785686010110196,0.009602122140854303,0.011458728851936573,0.013296518384617404,0.015137534845114667,0.016930272451265854,0.018728193750941695,0.027541546868592212,0.03611472616714015,0.044562364287023606,0.05289564783074219
25Y,0.002115301123270838,0.004204427434764516,0.006296964969040034,0.008338871751558239,0.010386625438218222,0.012417748206725055,0.01427437146377807,0.016467725877048055,0.018445251494074996,0.02042025867619647,0.03018360387441822,0.03983142048748011,0.04937097699734697,0.058924215780479516
30Y,0.0022406546101293077,0.00447771296983145,0.006701950697288266,0.008889289201906592,0.011067789705183935,0.013233593194352893,0.015419438164513577,0.017567065534436568,0.019741626104315825,0.021883173666513156,0.03254784393193622,0.04313205331609742,0.05375160156582423,0.06469723113742289
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VegaPrice_FD (dv=0.01) - per1pct (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
1M,0.00010490991395261961,0.000213734473292777,0.0003237883174715079,0.0004355816051961939,0.0005504349946415135,0.0006685861891516117,0.0007900826097090368,0.0009144349139980115,0.0010419426581866136,0.0011706995283527271,0.0018298705699225906,0.002466808149390011,0.0030639215576196838,0.003629811194794387
